-308	-318
3	0
-256	-312
3	0
-298	-278
3	0
-270	-274
3	0
-328	-246
3	0
-302	-244
3	0
-272	-234
3	0
-288	-208
3	0
-296	-180
3	0
-254	-198
3	0
-240	-164
3	0
-224	-132
3	0
-232	-90
3	0
-198	-116
3	0
-342	2
3	0
-308	8
3	0
-348	52
3	0
-312	38
3	0
-268	70
3	0
-270	42
3	0
-272	14
3	0
-192	20
3	0
-230	18
3	0
-226	-10
3	0
-182	-36
3	0
-140	-50
3	0
-194	98
3	0
-184	116
3	0
-238	114
3	0
-212	130
3	0
-236	168
3	0
-208	162
3	0
-140	208
3	0
-160	176
3	0
-174	148
3	0
-144	152
3	0
-104	160
3	0
-74	364
3	0
-60	194
3	0
-102	110
3	0
-116	62
3	0
-68	34
3	0
-22	32
3	0
-50	100
3	0
-8	82
3	0
-76	288
3	0
-48	302
3	0
-100	336
3	0
-56	326
3	0
-34	362
3	0
-24	342
3	0
74	320
3	0
30	320
3	0
-10	316
3	0
20	290
3	0
48	264
3	0
76	232
3	0
124	238
3	0
94	200
3	0
52	192
3	0
30	134
3	0
84	160
3	0
72	118
3	0
114	108
3	0
44	86
3	0
-182	-316
3	0
-146	-300
3	0
-106	-322
3	0
-66	-334
3	0
-16	-322
3	0
0	-306
3	0
52	-304
3	0
68	-358
3	0
16	-364
3	0
28	-328
3	0
-62	-308
3	0
-190	-268
3	0
-150	-262
3	0
-100	-250
3	0
-56	-264
3	0
-64	-232
3	0
-14	-268
3	0
-16	-234
3	0
26	-262
3	0
10	-206
3	0
-22	-150
3	0
-48	-194
3	0
-76	-158
3	0
-98	-128
3	0
-110	-96
3	0
-64	-92
3	0
-114	-208
3	0
-150	-180
3	0
-164	-144
3	0
-162	-104
3	0
-150	-78
3	0
-88	-42
3	0
-44	-24
3	0
-8	-6
3	0
26	16
3	0
50	38
3	0
88	68
3	0
104	28
3	0
132	14
3	0
146	44
3	0
128	74
3	0
162	108
3	0
174	174
3	0
178	230
3	0
234	248
3	0
270	224
3	0
304	206
3	0
310	156
3	0
304	106
3	0
292	46
3	0
304	8
3	0
340	-20
3	0
244	66
3	0
326	70
3	0
44	-146
3	0
54	-182
3	0
52	-220
3	0
78	-256
3	0
112	-290
3	0
150	-316
3	0
186	-336
3	0
210	-362
3	0
-4	-112
3	0
42	-114
3	0
84	-132
3	0
118	-156
3	0
102	-186
3	0
124	-232
3	0
146	-258
3	0
180	-276
3	0
204	-296
3	0
236	-320
3	0
282	-338
3	0
328	-364
3	0
292	-282
3	0
164	-190
3	0
202	-208
3	0
248	-222
3	0
302	-224
3	0
260	-164
3	0
166	-146
3	0
206	-128
3	0
244	-102
3	0
214	-64
3	0
138	-112
3	0
164	-70
3	0
182	-34
3	0
192	4
3	0
124	-22
3	0
52	-74
3	0
60	-32
3	0
-8	-60
3	0
